"","category","term","ontology","numDEInCat","adjp"
"17583","GO:0098798","mitochondrial protein-containing complex","CC",8,0.00162428221578102
"7919","GO:0031966","mitochondrial membrane","CC",12,0.00162428221578102
"2638","GO:0005743","mitochondrial inner membrane","CC",10,0.00162428221578102
"2635","GO:0005740","mitochondrial envelope","CC",12,0.00163571079468699
"7481","GO:0031090","organelle membrane","CC",25,0.00163571079468699
"6541","GO:0019866","organelle inner membrane","CC",10,0.00242095370861994
"7920","GO:0031967","organelle envelope","CC",14,0.00445412797772509
"7924","GO:0031975","envelope","CC",14,0.00445412797772509
"2634","GO:0005739","mitochondrion","CC",15,0.019822720863599
