"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1","xenobiotic metabolic process","xenobiotic metabolic process","ENSG00000008394","ENSG00000023839","ENSG00000065621","ENSG00000095596","ENSG00000138109","ENSG00000138115","ENSG00000143819","ENSG00000160868","ENSG00000160870","ENSG00000165841","ENSG00000197408","ENSG00000198077","ENSG00000198848","ENSG00000205702","ENSG00000240224","ENSG00000241635","ENSG00000244067","ENSG00000255974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","cellular response to xenobiotic stimulus","cellular response to xenobiotic stimulus","ENSG00000008394","ENSG00000023839","ENSG00000065621","ENSG00000095596","ENSG00000138109","ENSG00000138115","ENSG00000143819","ENSG00000160868","ENSG00000160870","ENSG00000165841","ENSG00000197408","ENSG00000198077","ENSG00000198848","ENSG00000205702","ENSG00000240224","ENSG00000241635","ENSG00000244067","ENSG00000255974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","response to xenobiotic stimulus","response to xenobiotic stimulus","ENSG00000008394","ENSG00000023839","ENSG00000065621","ENSG00000095596","ENSG00000138109","ENSG00000138115","ENSG00000143819","ENSG00000160868","ENSG00000160870","ENSG00000165841","ENSG00000197408","ENSG00000198077","ENSG00000198848","ENSG00000205702","ENSG00000240224","ENSG00000241635","ENSG00000244067","ENSG00000255974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","drug metabolic process","drug metabolic process","ENSG00000023839","ENSG00000138109","ENSG00000138115","ENSG00000159228","ENSG00000160868","ENSG00000165841","ENSG00000197408","ENSG00000198077","ENSG00000205702","ENSG00000241635","ENSG00000255974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","exogenous drug catabolic process","exogenous drug catabolic process","ENSG00000138109","ENSG00000138115","ENSG00000160868","ENSG00000165841","ENSG00000197408","ENSG00000198077","ENSG00000205702","ENSG00000255974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","drug catabolic process","drug catabolic process","ENSG00000138109","ENSG00000138115","ENSG00000160868","ENSG00000165841","ENSG00000197408","ENSG00000198077","ENSG00000205702","ENSG00000255974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","monocarboxylic acid metabolic process","monocarboxylic acid metabolic process","ENSG00000006025","ENSG00000023839","ENSG00000095596","ENSG00000106853","ENSG00000107566","ENSG00000108479","ENSG00000111271","ENSG00000117448","ENSG00000121897","ENSG00000130208","ENSG00000135220","ENSG00000138109","ENSG00000138115","ENSG00000140284","ENSG00000142657","ENSG00000143819","ENSG00000156510","ENSG00000158715","ENSG00000159228","ENSG00000160282","ENSG00000160868","ENSG00000160870","ENSG00000165841","ENSG00000166796","ENSG00000170835","ENSG00000173610","ENSG00000187097","ENSG00000188611","ENSG00000197408","ENSG00000197444","ENSG00000198077","ENSG00000198848","ENSG00000205702","ENSG00000240224","ENSG00000241635","ENSG00000250799","ENSG00000255974","","","","","","","","","","","","","","",""
"8","organic acid metabolic process","organic acid metabolic process","ENSG00000005381","ENSG00000006025","ENSG00000023839","ENSG00000065621","ENSG00000095596","ENSG00000106588","ENSG00000106853","ENSG00000107566","ENSG00000108479","ENSG00000109193","ENSG00000111271","ENSG00000116984","ENSG00000117448","ENSG00000121897","ENSG00000124564","ENSG00000130208","ENSG00000131183","ENSG00000135220","ENSG00000138109","ENSG00000138115","ENSG00000138821","ENSG00000140284","ENSG00000142657","ENSG00000143819","ENSG00000145217","ENSG00000147408","ENSG00000156510","ENSG00000158715","ENSG00000159228","ENSG00000160282","ENSG00000160868","ENSG00000160870","ENSG00000165841","ENSG00000166347","ENSG00000166796","ENSG00000170835","ENSG00000173610","ENSG00000187097","ENSG00000188603","ENSG00000188611","ENSG00000196696","ENSG00000197408","ENSG00000197444","ENSG00000198077","ENSG00000198203","ENSG00000198848","ENSG00000205702","ENSG00000240224","ENSG00000241635","ENSG00000250799","ENSG00000255974","ENSG00000274276"
"9","oxoacid metabolic process","oxoacid metabolic process","ENSG00000005381","ENSG00000006025","ENSG00000023839","ENSG00000065621","ENSG00000095596","ENSG00000106588","ENSG00000106853","ENSG00000107566","ENSG00000108479","ENSG00000109193","ENSG00000111271","ENSG00000116984","ENSG00000117448","ENSG00000121897","ENSG00000130208","ENSG00000131183","ENSG00000135220","ENSG00000138109","ENSG00000138115","ENSG00000138821","ENSG00000140284","ENSG00000142657","ENSG00000143819","ENSG00000145217","ENSG00000147408","ENSG00000156510","ENSG00000158715","ENSG00000159228","ENSG00000160282","ENSG00000160868","ENSG00000160870","ENSG00000165841","ENSG00000166347","ENSG00000166796","ENSG00000170835","ENSG00000173610","ENSG00000187097","ENSG00000188603","ENSG00000188611","ENSG00000196696","ENSG00000197408","ENSG00000197444","ENSG00000198077","ENSG00000198203","ENSG00000198848","ENSG00000205702","ENSG00000240224","ENSG00000241635","ENSG00000250799","ENSG00000255974","ENSG00000274276",""
"10","epoxygenase P450 pathway","epoxygenase P450 pathway","ENSG00000138109","ENSG00000138115","ENSG00000165841","ENSG00000197408","ENSG00000198077","ENSG00000255974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","carboxylic acid metabolic process","carboxylic acid metabolic process","ENSG00000006025","ENSG00000023839","ENSG00000065621","ENSG00000095596","ENSG00000106588","ENSG00000106853","ENSG00000107566","ENSG00000108479","ENSG00000111271","ENSG00000116984","ENSG00000117448","ENSG00000121897","ENSG00000130208","ENSG00000131183","ENSG00000135220","ENSG00000138109","ENSG00000138115","ENSG00000138821","ENSG00000140284","ENSG00000142657","ENSG00000143819","ENSG00000147408","ENSG00000156510","ENSG00000158715","ENSG00000159228","ENSG00000160282","ENSG00000160868","ENSG00000160870","ENSG00000165841","ENSG00000166347","ENSG00000166796","ENSG00000170835","ENSG00000173610","ENSG00000187097","ENSG00000188603","ENSG00000188611","ENSG00000196696","ENSG00000197408","ENSG00000197444","ENSG00000198077","ENSG00000198848","ENSG00000205702","ENSG00000240224","ENSG00000241635","ENSG00000250799","ENSG00000255974","ENSG00000274276","","","","",""
"12","arachidonic acid metabolic process","arachidonic acid metabolic process","ENSG00000138109","ENSG00000138115","ENSG00000143819","ENSG00000159228","ENSG00000165841","ENSG00000197408","ENSG00000198077","ENSG00000205702","ENSG00000255974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","long-chain fatty acid metabolic process","long-chain fatty acid metabolic process","ENSG00000138109","ENSG00000138115","ENSG00000140284","ENSG00000143819","ENSG00000159228","ENSG00000160868","ENSG00000165841","ENSG00000188611","ENSG00000197408","ENSG00000198077","ENSG00000205702","ENSG00000255974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","steroid metabolic process","steroid metabolic process","ENSG00000006025","ENSG00000021461","ENSG00000095596","ENSG00000107566","ENSG00000109193","ENSG00000118972","ENSG00000130208","ENSG00000138109","ENSG00000138115","ENSG00000140284","ENSG00000160868","ENSG00000160870","ENSG00000165841","ENSG00000170835","ENSG00000173610","ENSG00000182704","ENSG00000197408","ENSG00000198848","ENSG00000241635","ENSG00000255974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
