,Study.Number,HF,Rep ID,Library.ID,Fat,Viability,Time,replicate,Group,Group2,Risk
FN13,FN-3 Pre,3,CN-1,FN13,F,N,0,3,CN1,CN1,N1
FN23,FN-3 3hr,3,CN-1,FN23,F,N,3,3,CN2,CN2,N2
LN13,LN-3 pre,4,CN-2,LN13,L,N,0,3,CN1,CN1,N1
LN23,LN-3 3hr,4,CN-2,LN23,L,N,3,3,CN2,CN2,N2
LN33,LN-3 6hr,4,CN-2,LN33,L,N,6,3,CN3,CN3,N3
FN12,FN-2 Pre,9,CN-3,FN12,F,N,0,2,CN1,CN1,N1
FN22,FN-2 3hr,9,CN-3,FN22,F,N,3,2,CN2,CN2,N2
FN32,FN-2 6hr,9,CN-3,FN32,F,N,6,2,CN3,CN3,N3
FN11,FN-1 Pre,12,CN-4,FN11,F,N,0,1,CN1,CN1,N1
FN21,FN-1 3hr,12,CN-4,FN21,F,N,3,1,CN2,CN2,N2
FN31,FN-1 6hr,12,CN-4,FN31,F,N,6,1,CN3,CN3,N3
LN11,LN-1 pre,19,CN-5,LN11,L,N,0,1,CN1,CN1,N1
LN21,LN-1 3hr,19,CN-5,LN21,L,N,3,1,CN2,CN2,N2
LN31,LN-1 6hr,19,CN-5,LN31,L,N,6,1,CN3,CN3,N3
FV13,FV-3 pre,6,CV-1,FV13,F,V,0,3,CV1,CV1,V1
FV23,FV-3 3hr,6,CV-1,FV23,F,V,3,3,CV2,CV2,V2
FV33,FV-3 6hr,6,CV-1,FV33,F,V,6,3,CV3,CV3,V3
LV13,LV-3 pre,11,CV-2,LV13,L,V,0,3,CV1,CV1,V1
LV23,LV-3 3hr,11,CV-2,LV23,L,V,3,3,CV2,CV2,V2
LV33,LV-3 6hr,11,CV-2,LV33,L,V,6,3,CV3,CV3,V3
LV12,LV-2 pre,16,CV-3,LV12,L,V,0,2,CV1,CV1,V1
LV22,LV-2 3hr,16,CV-3,LV22,L,V,3,2,CV2,CV2,V2
LV32,LV-2 6hr,16,CV-3,LV32,L,V,6,2,CV3,CV3,V3
LV11,LV-1 pre,17,CV-4,LV11,L,V,0,1,CV1,CV1,V1
LV21,LV-1 3hr,17,CV-4,LV21,L,V,3,1,CV2,CV2,V2
LV31,LV-1 6hr,17,CV-4,LV31,L,V,6,1,CV3,CV3,V3
FV12,FV-2 pre,18,CV-5,FV12,F,V,0,2,CV1,CV1,V1
FV22,FV-2 3hr,18,CV-5,FV22,F,V,3,2,CV2,CV2,V2
FV32,FV-2 6hr,18,CV-5,FV32,F,V,6,2,CV3,CV3,V3
EM11,AP-1 Pre,JB6,EM-1,EM11,,V,0,1,EM1,EM1,Low1
EM21,AP-1 3hr,JB1,EM-1,EM21,,V,3,1,EM2,EM2,Low2
EM31,AP-1 6hr,JB9,EM-1,EM31,,V,6,1,EM3,EM3,Low3
EM12,AP-2 Pre,JB2,EM-2,EM12,,V,0,2,EM1,EM1,Low1
EM22,AP-2 3hr,JB10,EM-2,EM22,,V,3,2,EM2,EM2,Low2
EM32,AP-2 6hr,JB13,EM-2,EM32,,V,6,2,EM3,EM3,Low3
EM13,AP-4 Pre,JB8,EM-3,EM13,,V,0,3,EM1,EM1,High1
EM23,AP-4 3hr,JB4,EM-3,EM23,,V,3,3,EM2,EM2,High2
EM33,AP-4 6hr,JB14,EM-3,EM33,,V,6,3,EM3,EM3,High3
EM14,AP-5 Pre,JB12,EM-4,EM14,,V,0,4,EM1,EM1,High1
EM24,AP-5 3hr,JB15,EM-4,EM24,,V,3,4,EM2,EM2,High2
EM34,AP-5 6hr,JB5,EM-4,EM34,,V,6,4,EM3,EM3,High3
EM15,AP-3 Pre,JB11,EM-5,EM15,,N,0,5,EM1,NV1,NV1
EM25,AP-3 3hr,JB7,EM-5,EM25,,N,3,5,EM2,NV2,NV2
EM35,AP-3 6hr,JB3,EM-5,EM35,,N,6,5,EM3,NV3,NV3
